Row Labels,Al_Balqa,Al_Mafraq,Amman,Aqaba,Irbid,Jarash,Karak,Maan,Madaba,zarqa
Al_Balqa,326,3,0,0,0,0,11,4,0,0
Al_Mafraq,277,1189,0,0,67,0,5,2,0,11
Amman,302,0,210,0,6,0,0,0,2,0
Aqaba,0,0,0,33,0,0,0,0,0,0
Irbid,44,0,0,0,237,0,0,0,0,0
Jarash,0,0,0,0,0,6,0,0,0,0
Karak,0,0,0,0,0,0,26,0,0,0
Maan,22,0,0,0,10,0,4,43,0,0
Madaba,32,0,0,0,0,0,0,0,37,0
zarqa,5,0,11,0,0,0,0,0,0,82
